epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.45978,2.93889,16.0124,1.3807,0,0,0,0,3.99606,5.625,1.70204,0.0901,0.0011,0.0011
2,16.1768,3.01902,11.0913,1.50141,0,0,0,0,3.69916,4.99948,1.67864,0.0792848,0.00228482,0.00228482
3,23.8517,3.24548,4.44413,1.57558,0.025,0.05,0.027,0.0081,4.88698,3.84872,3.46014,0.0684538,0.0034538,0.0034538
4,31.6419,3.16098,3.06876,1.53404,0.01361,0.1,0.00884,0.00229,4.59569,3.8712,4.01441,0.0576069,0.00460694,0.00460694
5,39.3241,3.06424,1.99119,1.50326,0,0,0,0,4.66849,14.0345,4.74139,0.0467442,0.00574424,0.00574424
6,46.8427,2.82834,2.08609,1.31603,0,0,0,0,4.90337,inf,15.0688,0.0358657,0.0068657,0.0068657
7,54.4612,2.84315,1.91286,1.33328,0,0,0,0,4.95989,13.6856,7.51502,0.0249713,0.00797132,0.00797132
8,62.0861,2.76455,1.48932,1.23311,0,0,0,0,5.32848,81.6595,7.94854,0.0140611,0.0090611,0.0090611
9,69.6982,2.54186,1.4253,1.19399,0,0,0,0,5.65738,inf,14.4777,0.009472,0.009472,0.009472
10,77.3027,2.49671,1.47882,1.28571,0,0,0,0,5.76302,inf,11.2604,0.009406,0.009406,0.009406
11,84.8309,2.63242,1.4626,1.23218,0,0,0,0,5.25519,5.41953,12.3163,0.00934,0.00934,0.00934
12,92.4051,2.35769,1.46145,1.16165,0,0,0,0,4.98662,7.19403,12.5215,0.009274,0.009274,0.009274
13,99.9125,2.40727,1.30724,1.14224,0,0,0,0,4.81477,7.98966,10.2734,0.009208,0.009208,0.009208
14,107.548,2.29512,1.25119,1.18952,0,0,0,0,4.95033,7.49683,8.00187,0.009142,0.009142,0.009142
15,115.273,2.4475,1.32003,1.18056,0,0,0,0,6.04428,7.61613,5.85646,0.009076,0.009076,0.009076
16,122.918,2.38936,1.32175,1.15954,0,0,0,0,5.67561,5.77681,5.57446,0.00901,0.00901,0.00901
17,130.618,2.30375,1.24092,1.1704,0,0,0,0,5.38431,6.67427,6.68277,0.008944,0.008944,0.008944
18,138.27,2.34317,1.26789,1.10097,0,0,0,0,5.6859,6.73744,6.50052,0.008878,0.008878,0.008878
19,146.177,2.15457,1.23359,1.10456,0,0,0,0,5.35908,3.51034,2.42292,0.008812,0.008812,0.008812
20,153.845,2.28164,1.25855,1.1136,0.21592,0.1,0.05051,0.00505,4.76603,3.28365,1.87189,0.008746,0.008746,0.008746
21,161.487,2.42532,1.32409,1.20338,0.3256,0.45,0.20935,0.04422,3.64995,2.32041,1.52503,0.00868,0.00868,0.00868
22,169.228,2.19899,1.23207,1.10645,0.46874,0.7,0.42042,0.06901,3.34191,1.77535,1.18408,0.008614,0.008614,0.008614
23,177.077,2.2542,1.24679,1.06265,0.58748,0.8,0.62114,0.19117,2.65323,1.59489,1.19983,0.008548,0.008548,0.008548
24,184.723,2.10228,1.27319,1.19295,0.62688,0.85,0.62746,0.12582,3.08482,1.6111,1.16233,0.008482,0.008482,0.008482
25,192.432,2.02773,1.2437,1.09963,0.54741,0.7,0.51296,0.15626,2.93658,1.81846,1.12264,0.008416,0.008416,0.008416
26,200.062,2.25823,1.2044,1.10847,0.57195,0.65,0.47314,0.14393,3.06042,1.65154,1.16546,0.00835,0.00835,0.00835
27,207.748,2.21979,1.19617,1.18715,0.59293,0.75,0.56149,0.1225,3.1705,1.63918,1.21417,0.008284,0.008284,0.008284
28,215.373,2.3074,1.28627,1.13496,0.82702,0.95643,0.88224,0.24362,2.61846,1.46582,1.09328,0.008218,0.008218,0.008218
29,223.118,2.2732,1.19492,1.13953,0.83238,0.85,0.82725,0.28875,2.35298,1.94375,1.03364,0.008152,0.008152,0.008152
30,230.833,2.04976,1.20115,1.1268,0.6804,0.8,0.7537,0.20893,2.6579,2.40894,1.07237,0.008086,0.008086,0.008086
31,238.668,2.21102,1.31804,1.11635,0.38356,0.55,0.28232,0.08118,2.72954,3.0419,1.12049,0.00802,0.00802,0.00802
32,246.432,2.09189,1.28418,1.06934,0.21775,0.4,0.15886,0.04765,2.75806,3.08626,1.13972,0.007954,0.007954,0.007954
33,254.259,1.99028,1.1812,1.07499,0.53885,0.40945,0.40389,0.13262,3.02336,1.63214,1.20234,0.007888,0.007888,0.007888
34,262.02,2.08392,1.2319,1.0663,0.55077,0.73601,0.68171,0.20179,2.77133,1.45378,1.18388,0.007822,0.007822,0.007822
35,269.763,2.03719,1.231,1.10746,0.76552,0.81672,0.81353,0.2659,2.5178,1.32658,1.11427,0.007756,0.007756,0.007756
36,277.981,1.97005,1.20955,1.09074,0.74033,0.8555,0.8132,0.25639,2.49078,1.24932,1.07835,0.00769,0.00769,0.00769
37,286.305,1.96976,1.18797,1.0734,0.62894,0.95,0.8141,0.26059,2.54899,1.36726,1.08743,0.007624,0.007624,0.007624
38,294.259,1.93495,1.17286,1.07574,0.70669,0.85,0.77719,0.28904,2.35858,1.31693,1.08176,0.007558,0.007558,0.007558
39,302.285,1.91065,1.17346,1.07442,0.72205,0.90949,0.78502,0.32907,2.2254,1.19614,1.09652,0.007492,0.007492,0.007492
40,310.591,2.00399,1.19385,1.05826,0.79014,0.94158,0.76093,0.25446,2.40197,1.21764,1.09745,0.007426,0.007426,0.007426
41,318.929,2.04544,1.14908,1.01676,0.73621,0.95,0.79286,0.27291,2.46688,1.29519,1.10824,0.00736,0.00736,0.00736
42,327.101,2.07771,1.15474,1.09305,0.64546,0.81971,0.64468,0.20284,2.68141,1.26081,1.15038,0.007294,0.007294,0.007294
43,335.934,2.07285,1.22567,1.05914,0.77644,0.8,0.80122,0.18341,2.78449,1.30412,1.14955,0.007228,0.007228,0.007228
44,344.431,2.03753,1.15442,1.09766,0.86094,0.92926,0.89222,0.23362,2.60963,1.16599,1.10985,0.007162,0.007162,0.007162
45,352.578,2.03292,1.15508,1.07123,0.78964,0.95,0.81097,0.27675,2.47562,1.29443,1.07591,0.007096,0.007096,0.007096
46,360.797,1.9355,1.15535,1.01369,0.68397,0.75779,0.6605,0.20876,2.55747,1.28978,1.08745,0.00703,0.00703,0.00703
47,369.053,2.1232,1.14624,1.05161,0.70256,0.9,0.67624,0.20713,2.65383,1.2643,1.07273,0.006964,0.006964,0.006964
48,376.886,2.06104,1.16228,1.06778,0.74822,0.89182,0.69486,0.23061,2.55984,1.18581,1.06613,0.006898,0.006898,0.006898
49,384.783,1.97802,1.14014,1.02766,0.77259,0.84935,0.75964,0.27213,2.48849,1.17294,1.07668,0.006832,0.006832,0.006832
50,392.787,1.86037,1.11433,1.00263,0.78068,0.89024,0.75007,0.26071,2.39776,1.16607,1.07122,0.006766,0.006766,0.006766
51,400.781,1.84453,1.09958,1.06833,0.65146,0.85,0.68605,0.19463,2.69041,1.34335,1.08187,0.0067,0.0067,0.0067
52,408.675,1.87179,1.11039,1.02048,0.45913,0.76428,0.61583,0.16339,2.88545,1.44873,1.07263,0.006634,0.006634,0.006634
53,416.769,1.92727,1.19249,1.12915,0.57147,0.66726,0.53879,0.21114,2.5047,1.29393,1.0883,0.006568,0.006568,0.006568
54,424.688,1.90437,1.11893,1.02636,0.4552,0.75,0.51832,0.20528,2.53065,1.27467,1.0553,0.006502,0.006502,0.006502
55,432.643,1.94284,1.14892,1.09226,0.51235,0.8,0.56625,0.20775,2.48166,1.2369,1.0627,0.006436,0.006436,0.006436
56,440.428,1.98017,1.08788,1.02251,0.63712,0.95,0.74534,0.25711,2.39581,1.21435,1.00534,0.00637,0.00637,0.00637
57,448.193,1.9807,1.16079,1.06525,0.74329,0.95,0.85508,0.27541,2.28323,1.64925,0.98842,0.006304,0.006304,0.006304
58,456.121,1.88061,1.12374,1.026,0.7401,0.85444,0.73483,0.24209,2.41921,1.45634,1.04277,0.006238,0.006238,0.006238
59,464.185,1.8633,1.1377,1.07578,0.75075,0.9,0.82041,0.22756,2.42881,1.13763,1.02796,0.006172,0.006172,0.006172
60,472.129,1.8163,1.12166,1.0002,0.8203,0.95,0.89302,0.28153,2.33128,1.17073,1.01145,0.006106,0.006106,0.006106
61,480.084,1.89248,1.08754,1.01191,0.7292,0.8,0.74465,0.20434,2.55701,1.43005,1.04242,0.00604,0.00604,0.00604
62,487.908,2.01003,1.14308,1.08288,0.59585,0.73754,0.56694,0.15243,2.67565,1.48965,1.06967,0.005974,0.005974,0.005974
63,495.763,1.84105,1.11594,1.083,0.67529,0.9,0.77767,0.27236,2.43265,1.25854,1.03778,0.005908,0.005908,0.005908
64,503.607,1.97032,1.15576,1.02123,0.77628,0.85,0.79042,0.31384,2.20853,1.15636,1.01786,0.005842,0.005842,0.005842
65,511.466,1.81088,1.1013,1.03939,0.73729,0.84222,0.76855,0.30769,2.17446,1.14729,1.02605,0.005776,0.005776,0.005776
66,519.342,1.73685,1.12027,0.99847,0.7707,0.75,0.73692,0.26998,2.2578,1.22379,1.03,0.00571,0.00571,0.00571
67,527.263,1.95146,1.07548,1.04038,0.72474,0.8,0.74013,0.31259,2.15507,1.17431,0.99561,0.005644,0.005644,0.005644
68,535.183,1.87019,1.15904,1.04665,0.82422,0.95,0.91446,0.34333,2.12403,1.11886,0.99275,0.005578,0.005578,0.005578
69,543.149,1.88551,1.14999,1.04176,0.90187,0.91963,0.91843,0.34399,2.34347,1.18029,0.99392,0.005512,0.005512,0.005512
70,550.987,1.77225,1.04997,1.01881,0.90028,0.95,0.93346,0.2685,2.57133,1.33972,1.01519,0.005446,0.005446,0.005446
71,558.919,1.91274,1.19412,1.03275,0.83041,0.9,0.87421,0.26432,2.35656,1.26956,0.99787,0.00538,0.00538,0.00538
72,566.843,1.83868,1.08687,1.01352,0.68349,0.86418,0.81428,0.27706,2.25113,1.28539,0.94637,0.005314,0.005314,0.005314
73,574.675,1.88347,1.14101,1.01277,0.74158,0.9,0.80992,0.2655,2.20708,1.18228,0.97001,0.005248,0.005248,0.005248
74,582.614,1.77989,1.11343,1.0061,0.63296,0.86258,0.67649,0.25225,2.25363,1.16032,0.97729,0.005182,0.005182,0.005182
75,590.313,1.92484,1.10096,1.02938,0.76156,0.9,0.83085,0.31306,2.1022,1.14388,0.95019,0.005116,0.005116,0.005116
76,598.282,1.88619,1.08281,1.00715,0.77248,0.9,0.84192,0.32819,2.18384,1.14048,0.95325,0.00505,0.00505,0.00505
77,606.186,1.90273,1.08694,1.01431,0.74498,0.9,0.81024,0.27992,2.46761,1.16594,0.98994,0.004984,0.004984,0.004984
